python_startIndex,python_endIndex,Url,maxPage,Category,SubCategory,SubSubCategory
0,1,https://www.walmart.com/browse/beauty/moisturizers/1085666_1007039_9837318?page=,25,Beauty-Skincare,Moisturizers,Face Moisturizers,
1,2,https://www.walmart.com/browse/1085666_1007039_9837318_5746304?page=,25,Beauty-Skincare,Moisturizers,Night Creams,
2,3,https://www.walmart.com/browse/beauty/skincare/1085666_1007039?page=,25,Beauty-Skincare,Cleansers,Facial Cleansers,
3,4,https://www.walmart.com/browse/beauty/makeup-remover/1085666_1007039_5838098?page=,25,Beauty-Skincare,Cleansers,Makeup Removers,
4,5,https://www.walmart.com/browse/beauty/exfoliators/1085666_1007039_1001503_2437066?page=,25,Beauty-Skincare,Cleansers,Exfoliators,
5,6,https://www.walmart.com/browse/beauty/face-toners/1085666_1007039_1001503_5390061?page=,25,Beauty-Skincare,Cleansers,Face Toner,
6,7,https://www.walmart.com/browse/beauty/facial-serums/1085666_1007039_6013946?page=,25,Beauty-Skincare,Facial Treatments,Facial Serums,
7,8,https://www.walmart.com/browse/1085666_1007039_6013946_8246959?page=,13,Beauty-Skincare,Facial Treatments,Facial Mists,
8,9,https://www.walmart.com/browse/beauty/facial-treatments-for-acne-and-blemishes/1085666_1007039_1001505_3049596?page=,5,Beauty-Skincare,Facial Treatments,Acne Treatments,
9,10,https://www.walmart.com/browse/beauty/anti-aging-cream/1085666_1007039_9837318_4395603?page=,25,Beauty-Skincare,Facial Treatments,Anti-Aging Treatments,
10,11,https://www.walmart.com/browse/beauty/facial-moisturizers-for-dark-spots/1085666_1007039_9837318_3314187?page=,1,Beauty-Skincare,Facial Treatments,Dark Spot Treatments,
11,12,https://www.walmart.com/browse/beauty/sheet-masks/1085666_1007039_7620876_5410866?page=,3,Beauty-Skincare,Face Masks,Sheet Masks,
12,13,https://www.walmart.com/browse/beauty/wash-off-face-masks/1085666_1007039_7620876_3855743?page=,25,Beauty-Skincare,Face Masks,Wash off Face Masks,
13,14,https://www.walmart.com/browse/beauty/face-masks/1085666_1007039_7620876?page=,25,Beauty-Skincare,Face Masks,Peel off Face Masks,
14,15,https://www.walmart.com/browse/beauty/eye-creams-for-anti-aging/1085666_1007039_8768767_8053933?page=,25,Beauty-Skincare,Eye Creams,Eye Creams for Anti-Aging,
15,16,https://www.walmart.com/browse/1085666_1007039_8768767_8952211?page=,9,Beauty-Skincare,Eye Creams,Eye Serums,
16,17,https://www.walmart.com/browse/beauty/skincare/1085666_1007039?page=,25,Beauty-Skincare,Eye Creams,Eye Masks,
17,18,https://www.walmart.com/browse/beauty/facial-cleansing-brushes/1085666_1007039_1001503_9325103?page=,9,Beauty-Skincare,Skincare Tools,Facial Cleansing Brushes,
18,19,https://www.walmart.com/browse/beauty/derma-rollers/1085666_1007039_596676_1971018?page=,25,Beauty-Skincare,Skincare Tools,Derma Rollers,
19,20,https://www.walmart.com/browse/beauty/skin-care-tools/1085666_1007039_596676?page=,25,Beauty-Skincare,Skincare Tools,Anti Aging Tools,
20,21,https://www.walmart.com/browse/beauty/facial-sunscreen/1085666_1007039_4046177?page=,14,Beauty-Skincare,Suncare,Facial Sunscreens,
